ticket_id,opened_at,region,channel,priority,category,agent,first_response_minutes,resolution_hours,reopened,satisfaction
TCK-1031,2025-09-07 11:33:23,NA,phone,low,integrations,l.svensson,38,69.10,true,4
TCK-1032,2025-09-07 18:34:07,APAC,in_app,urgent,billing,a.rossi,5,1.28,false,5
TCK-1033,2025-09-07 22:18:11,NA,phone,low,billing,p.nair,84,7.42,false,4
TCK-1034,2025-09-08 00:30:05,NA,chat,low,billing,c.duarte,24,9.22,false,4
TCK-1035,2025-09-08 08:18:30,NA,email,low,performance,j.okafor,65,20.32,false,4
TCK-1036,2025-09-08 14:11:18,APAC,email,normal,onboarding,p.nair,48,,false,
TCK-1037,2025-09-08 21:48:15,EMEA,email,high,billing,l.svensson,32,2.18,false,4
TCK-1038,2025-09-09 01:31:01,EMEA,chat,high,feature_request,c.duarte,27,18.45,true,5
TCK-1039,2025-09-09 06:01:29,APAC,phone,urgent,bug,a.rossi,10,8.66,false,4
TCK-1040,2025-09-09 11:40:40,APAC,email,high,performance,p.nair,51,6.78,false,3
TCK-1041,2025-09-09 17:00:13,APAC,phone,urgent,performance,p.nair,19,2.96,false,4
TCK-1042,2025-09-09 21:37:58,EMEA,in_app,low,onboarding,l.svensson,24,19.42,false,5
TCK-1043,2025-09-10 03:01:23,APAC,chat,normal,performance,a.rossi,56,10.74,false,4
TCK-1044,2025-09-10 05:31:32,NA,in_app,low,feature_request,a.rossi,77,98.88,false,4
TCK-1045,2025-09-10 07:04:07,EMEA,phone,low,bug,m.tanaka,99,44.84,false,4
TCK-1046,2025-09-10 12:13:07,APAC,in_app,normal,onboarding,l.svensson,70,13.08,false,4
TCK-1047,2025-09-10 20:09:50,NA,phone,urgent,onboarding,l.svensson,24,3.44,false,4
TCK-1048,2025-09-11 03:27:37,APAC,chat,urgent,onboarding,p.nair,26,3.91,false,5
TCK-1049,2025-09-11 09:24:43,EMEA,email,low,integrations,j.okafor,69,35.21,false,5
TCK-1050,2025-09-11 16:54:45,EMEA,email,normal,performance,a.rossi,76,19.61,false,4
TCK-1051,2025-09-12 00:06:14,NA,chat,low,integrations,m.tanaka,91,35.03,false,5
TCK-1052,2025-09-12 05:25:05,NA,email,normal,billing,a.rossi,22,2.95,false,5
TCK-1053,2025-09-12 08:20:03,NA,in_app,normal,integrations,p.nair,79,51.59,false,5
TCK-1054,2025-09-12 16:02:36,APAC,email,low,bug,m.tanaka,165,26.60,false,3
TCK-1055,2025-09-12 21:38:10,EMEA,chat,urgent,integrations,p.nair,11,16.13,false,4
TCK-1056,2025-09-13 03:23:36,APAC,email,urgent,onboarding,l.svensson,16,1.82,false,3
TCK-1057,2025-09-13 07:16:14,EMEA,in_app,normal,onboarding,j.okafor,40,4.82,false,5
TCK-1058,2025-09-13 13:24:58,NA,in_app,low,onboarding,a.rossi,157,16.75,false,4
TCK-1059,2025-09-13 15:30:18,APAC,chat,urgent,performance,j.okafor,18,6.10,false,4
TCK-1060,2025-09-13 18:24:34,APAC,in_app,high,billing,a.rossi,33,1.45,false,5
TCK-1061,2025-09-13 22:10:40,NA,chat,high,performance,p.nair,18,4.82,false,4
TCK-1062,2025-09-14 01:55:01,NA,email,low,performance,j.okafor,101,23.97,false,5
TCK-1063,2025-09-14 08:06:55,EMEA,email,normal,feature_request,m.tanaka,77,49.51,false,5
TCK-1064,2025-09-14 13:10:25,EMEA,email,low,onboarding,c.duarte,148,15.10,false,4
TCK-1065,2025-09-14 16:53:27,APAC,email,normal,onboarding,j.okafor,87,11.44,false,4
TCK-1066,2025-09-14 18:03:37,APAC,in_app,high,onboarding,c.duarte,49,2.49,false,5
TCK-1067,2025-09-14 23:51:41,EMEA,email,normal,performance,a.rossi,36,23.78,false,4
TCK-1068,2025-09-15 04:25:52,EMEA,in_app,high,performance,c.duarte,54,4.45,false,5
TCK-1069,2025-09-15 07:09:19,APAC,phone,high,onboarding,m.tanaka,54,,true,
TCK-1070,2025-09-15 09:24:06,EMEA,chat,low,feature_request,l.svensson,162,111.72,false,4
TCK-1071,2025-09-15 14:02:57,NA,chat,normal,billing,c.duarte,66,4.47,false,4
TCK-1072,2025-09-15 20:26:12,APAC,phone,high,feature_request,m.tanaka,17,38.31,false,5
TCK-1073,2025-09-16 00:18:30,EMEA,phone,high,billing,l.svensson,27,1.55,false,4
TCK-1074,2025-09-16 03:33:20,EMEA,phone,high,performance,a.rossi,54,6.96,false,3
TCK-1075,2025-09-16 07:04:21,APAC,chat,low,bug,c.duarte,37,32.63,false,4
TCK-1076,2025-09-16 10:38:06,APAC,chat,high,integrations,m.tanaka,54,23.66,false,5
TCK-1077,2025-09-16 15:25:44,NA,phone,low,onboarding,l.svensson,150,20.37,false,4
TCK-1078,2025-09-16 22:51:59,EMEA,chat,low,onboarding,l.svensson,94,19.80,false,4
TCK-1079,2025-09-17 00:12:06,APAC,phone,high,performance,p.nair,51,9.20,false,5
TCK-1080,2025-09-17 02:40:15,EMEA,in_app,high,integrations,c.duarte,11,30.76,false,4
TCK-1081,2025-09-17 05:36:35,APAC,chat,low,onboarding,p.nair,94,,false,
TCK-1082,2025-09-17 10:15:05,EMEA,phone,low,billing,c.duarte,67,9.04,true,4
TCK-1083,2025-09-17 15:46:56,APAC,in_app,low,bug,a.rossi,145,32.46,false,4
TCK-1084,2025-09-17 17:10:53,NA,chat,low,feature_request,l.svensson,24,50.13,false,4
TCK-1085,2025-09-17 19:27:03,APAC,email,low,feature_request,c.duarte,78,61.81,false,5
TCK-1086,2025-09-17 20:55:20,APAC,in_app,normal,feature_request,l.svensson,36,47.11,false,4
TCK-1087,2025-09-17 23:31:48,NA,email,low,onboarding,l.svensson,77,12.78,false,4
TCK-1088,2025-09-18 03:06:36,APAC,in_app,urgent,feature_request,c.duarte,9,19.39,false,4
TCK-1089,2025-09-18 10:28:36,NA,phone,urgent,performance,p.nair,24,4.60,false,4
TCK-1090,2025-09-18 13:15:55,EMEA,email,normal,onboarding,m.tanaka,63,11.84,false,5
TCK-1091,2025-09-18 18:06:08,EMEA,chat,low,billing,a.rossi,124,8.50,false,3
TCK-1092,2025-09-18 19:39:00,APAC,chat,normal,onboarding,m.tanaka,92,10.03,false,5
TCK-1093,2025-09-18 23:27:20,NA,phone,normal,bug,l.svensson,22,22.84,false,3
TCK-1094,2025-09-19 02:37:22,EMEA,chat,normal,billing,j.okafor,40,3.21,false,4
TCK-1095,2025-09-19 08:38:29,EMEA,in_app,normal,performance,a.rossi,21,9.93,false,4
TCK-1096,2025-09-19 12:49:05,EMEA,email,high,billing,a.rossi,35,1.48,false,5
TCK-1097,2025-09-19 19:57:14,NA,chat,high,bug,c.duarte,11,10.38,false,4
TCK-1098,2025-09-20 03:08:15,NA,chat,urgent,bug,j.okafor,20,7.43,false,4
TCK-1099,2025-09-20 04:23:14,NA,phone,low,performance,m.tanaka,113,19.55,false,4
TCK-1100,2025-09-20 12:19:40,APAC,chat,high,bug,c.duarte,41,,false,
TCK-1101,2025-09-20 13:29:35,APAC,email,high,integrations,c.duarte,54,17.64,false,5
TCK-1102,2025-09-20 14:47:45,APAC,chat,low,bug,l.svensson,116,24.36,false,5
TCK-1103,2025-09-20 21:07:49,EMEA,email,urgent,integrations,l.svensson,18,15.13,false,4
TCK-1104,2025-09-21 01:13:38,EMEA,phone,normal,feature_request,l.svensson,87,39.57,false,4
TCK-1105,2025-09-21 05:07:44,APAC,chat,urgent,integrations,c.duarte,26,9.39,false,4
TCK-1106,2025-09-21 09:06:26,NA,phone,low,performance,a.rossi,153,28.06,false,4
TCK-1107,2025-09-21 11:09:54,APAC,in_app,normal,feature_request,j.okafor,103,62.73,false,5
TCK-1108,2025-09-21 17:06:39,EMEA,in_app,low,performance,j.okafor,104,22.90,false,5
TCK-1109,2025-09-22 00:29:58,NA,in_app,low,onboarding,m.tanaka,50,11.85,false,3
TCK-1110,2025-09-22 08:22:34,APAC,phone,urgent,billing,a.rossi,8,0.84,false,4
TCK-1111,2025-09-22 10:39:17,APAC,in_app,normal,performance,a.rossi,44,20.85,false,4
TCK-1112,2025-09-22 11:41:08,NA,email,normal,bug,p.nair,77,15.49,false,4
TCK-1113,2025-09-22 17:59:54,EMEA,in_app,urgent,bug,a.rossi,24,7.22,false,4
TCK-1114,2025-09-23 00:30:38,NA,in_app,urgent,feature_request,c.duarte,29,18.94,false,3
TCK-1115,2025-09-23 02:01:23,APAC,phone,high,performance,j.okafor,48,7.68,false,3
TCK-1116,2025-09-23 05:10:54,APAC,phone,low,integrations,l.svensson,63,58.80,false,4
TCK-1117,2025-09-23 12:06:55,EMEA,phone,high,billing,m.tanaka,20,2.87,false,4
TCK-1118,2025-09-23 14:20:45,EMEA,email,normal,performance,m.tanaka,37,15.15,false,5
TCK-1119,2025-09-23 21:38:59,APAC,email,high,integrations,p.nair,22,11.33,false,4
TCK-1120,2025-09-24 02:37:16,APAC,email,urgent,billing,p.nair,9,1.71,false,5
TCK-1121,2025-09-24 10:35:15,NA,chat,urgent,integrations,p.nair,29,6.16,false,3
TCK-1122,2025-09-24 17:45:44,NA,phone,normal,feature_request,l.svensson,75,78.07,false,5
TCK-1123,2025-09-24 19:21:00,EMEA,chat,urgent,bug,j.okafor,27,6.31,false,4
TCK-1124,2025-09-25 00:40:47,APAC,chat,low,feature_request,j.okafor,64,,false,
TCK-1125,2025-09-25 06:45:50,EMEA,phone,urgent,onboarding,a.rossi,26,,false,
TCK-1126,2025-09-25 09:43:44,APAC,in_app,low,feature_request,p.nair,32,,false,
TCK-1127,2025-09-25 12:11:34,APAC,in_app,normal,feature_request,j.okafor,16,70.23,false,4
TCK-1128,2025-09-25 17:36:31,APAC,email,high,feature_request,l.svensson,11,40.72,false,4
TCK-1129,2025-09-25 19:29:34,NA,phone,high,billing,p.nair,20,2.79,false,4
TCK-1130,2025-09-25 21:17:58,APAC,phone,urgent,performance,c.duarte,15,6.26,false,3
TCK-1131,2025-09-26 01:10:36,APAC,email,high,feature_request,p.nair,26,31.02,false,3
TCK-1132,2025-09-26 03:53:41,APAC,email,normal,bug,p.nair,21,11.54,false,4
TCK-1133,2025-09-26 10:21:13,APAC,in_app,normal,onboarding,a.rossi,92,11.32,false,5
TCK-1134,2025-09-26 11:54:45,EMEA,phone,high,billing,m.tanaka,43,1.91,false,4
TCK-1135,2025-09-26 19:09:43,NA,email,normal,onboarding,a.rossi,57,10.12,false,5
TCK-1136,2025-09-27 01:00:58,NA,phone,low,performance,p.nair,161,22.75,false,3
TCK-1137,2025-09-27 06:40:56,APAC,phone,low,performance,j.okafor,63,19.44,false,5
TCK-1138,2025-09-27 12:16:58,APAC,phone,urgent,billing,m.tanaka,18,0.88,false,4
TCK-1139,2025-09-27 19:25:09,NA,email,high,bug,p.nair,9,14.61,false,4
TCK-1140,2025-09-27 20:54:25,NA,email,high,integrations,p.nair,53,24.70,false,3
TCK-1141,2025-09-27 23:00:02,NA,chat,low,performance,j.okafor,135,15.29,false,5
TCK-1142,2025-09-28 01:47:29,APAC,phone,high,billing,c.duarte,19,2.39,false,4
TCK-1143,2025-09-28 03:31:25,NA,phone,normal,onboarding,m.tanaka,51,8.00,false,4
TCK-1144,2025-09-28 04:53:11,APAC,in_app,high,feature_request,c.duarte,55,35.72,false,3
TCK-1145,2025-09-28 11:08:38,APAC,phone,high,feature_request,c.duarte,55,27.23,false,3
TCK-1146,2025-09-28 17:53:08,APAC,chat,low,onboarding,j.okafor,31,16.37,false,3
TCK-1147,2025-09-28 21:59:02,NA,phone,urgent,performance,a.rossi,10,4.10,false,5
TCK-1148,2025-09-29 04:19:37,EMEA,in_app,normal,onboarding,l.svensson,87,12.14,false,4
TCK-1149,2025-09-29 07:25:32,APAC,email,urgent,integrations,a.rossi,11,10.53,false,3
TCK-1150,2025-09-29 10:07:29,EMEA,email,low,integrations,j.okafor,40,62.01,false,4
TCK-1151,2025-09-29 16:16:25,APAC,in_app,low,onboarding,p.nair,115,9.10,false,4
TCK-1152,2025-09-29 18:18:02,EMEA,email,urgent,performance,p.nair,27,6.60,false,4
TCK-1153,2025-09-29 23:57:37,EMEA,email,normal,onboarding,j.okafor,16,10.11,false,4
TCK-1154,2025-09-30 02:07:27,EMEA,in_app,low,performance,j.okafor,109,38.11,false,5
TCK-1155,2025-09-30 09:44:22,EMEA,phone,low,feature_request,p.nair,92,103.49,false,5
TCK-1156,2025-09-30 16:05:11,NA,chat,urgent,integrations,c.duarte,13,,false,
TCK-1157,2025-09-30 19:43:17,APAC,email,urgent,billing,l.svensson,14,1.79,false,4
TCK-1158,2025-10-01 01:34:14,APAC,chat,urgent,billing,a.rossi,9,0.76,false,5
TCK-1159,2025-10-01 03:51:15,EMEA,in_app,normal,bug,c.duarte,68,22.88,true,5
TCK-1160,2025-10-01 08:40:40,NA,in_app,high,integrations,c.duarte,9,13.94,true,3
TCK-1161,2025-10-01 15:11:05,APAC,phone,urgent,integrations,l.svensson,30,15.78,false,4
TCK-1162,2025-10-01 22:57:08,EMEA,phone,high,feature_request,m.tanaka,43,39.12,true,4
TCK-1163,2025-10-02 05:11:50,NA,chat,normal,feature_request,m.tanaka,32,40.66,false,5
TCK-1164,2025-10-02 07:25:38,EMEA,email,high,billing,l.svensson,50,1.36,false,4
TCK-1165,2025-10-02 08:29:16,EMEA,chat,normal,bug,a.rossi,83,,false,
TCK-1166,2025-10-02 14:49:39,NA,in_app,urgent,onboarding,p.nair,12,3.03,false,5
TCK-1167,2025-10-02 20:42:18,APAC,email,high,bug,j.okafor,37,16.63,false,4
TCK-1168,2025-10-02 22:15:30,EMEA,chat,high,feature_request,c.duarte,34,39.17,false,4
TCK-1169,2025-10-03 00:06:13,NA,in_app,high,integrations,l.svensson,33,17.27,false,5
TCK-1170,2025-10-03 02:45:31,APAC,chat,low,billing,l.svensson,61,6.84,false,3
TCK-1171,2025-10-03 09:31:35,EMEA,in_app,low,billing,c.duarte,42,4.42,false,3
TCK-1172,2025-10-03 12:01:26,APAC,chat,normal,bug,j.okafor,48,31.31,false,5
TCK-1173,2025-10-03 14:31:29,NA,chat,low,onboarding,c.duarte,58,14.63,false,4
TCK-1174,2025-10-03 19:41:00,EMEA,email,urgent,onboarding,c.duarte,13,2.68,false,5
TCK-1175,2025-10-03 22:09:35,EMEA,phone,urgent,feature_request,a.rossi,31,15.28,false,5
TCK-1176,2025-10-04 01:53:59,NA,chat,urgent,feature_request,a.rossi,14,23.11,false,5
TCK-1177,2025-10-04 08:16:57,EMEA,in_app,low,integrations,c.duarte,84,85.04,false,5
TCK-1178,2025-10-04 10:39:34,APAC,chat,urgent,performance,a.rossi,13,4.07,false,5
TCK-1179,2025-10-04 13:25:15,NA,email,high,performance,a.rossi,21,9.69,false,5
TCK-1180,2025-10-04 17:44:27,APAC,email,urgent,feature_request,l.svensson,5,,false,
TCK-1181,2025-10-04 23:57:05,NA,in_app,high,bug,l.svensson,9,12.70,false,4
TCK-1182,2025-10-05 04:37:44,NA,email,low,feature_request,m.tanaka,36,52.89,false,4
TCK-1183,2025-10-05 07:44:50,EMEA,in_app,high,onboarding,c.duarte,27,3.69,false,3
TCK-1184,2025-10-05 14:39:50,NA,email,low,integrations,a.rossi,38,56.70,false,4
TCK-1185,2025-10-05 16:36:42,APAC,in_app,normal,performance,c.duarte,81,8.94,false,4
TCK-1186,2025-10-05 23:21:51,EMEA,phone,normal,feature_request,l.svensson,32,47.63,false,5
TCK-1187,2025-10-06 01:25:46,APAC,email,urgent,integrations,c.duarte,23,5.83,false,4
TCK-1188,2025-10-06 05:30:42,APAC,email,high,bug,l.svensson,41,17.07,false,4
TCK-1189,2025-10-06 09:57:13,NA,email,urgent,feature_request,l.svensson,18,9.20,true,5
TCK-1190,2025-10-06 11:24:48,EMEA,phone,normal,performance,p.nair,55,22.07,false,5
TCK-1191,2025-10-06 16:32:13,EMEA,chat,normal,performance,p.nair,66,9.66,false,5
TCK-1192,2025-10-07 00:02:44,EMEA,chat,low,integrations,m.tanaka,101,60.10,true,5
TCK-1193,2025-10-07 03:49:43,NA,phone,high,performance,l.svensson,55,6.18,false,4
TCK-1194,2025-10-07 08:33:13,NA,chat,normal,integrations,c.duarte,19,41.63,false,4
TCK-1195,2025-10-07 10:36:30,EMEA,chat,high,feature_request,p.nair,10,43.70,false,4
TCK-1196,2025-10-07 12:37:45,APAC,phone,low,bug,j.okafor,129,29.82,false,4
TCK-1197,2025-10-07 17:39:45,APAC,chat,low,billing,l.svensson,105,4.41,true,5
TCK-1198,2025-10-07 19:16:45,APAC,chat,normal,billing,j.okafor,55,4.10,false,4
TCK-1199,2025-10-08 00:23:24,NA,chat,urgent,billing,a.rossi,26,1.62,false,4
TCK-1200,2025-10-08 06:17:59,NA,chat,normal,onboarding,m.tanaka,45,13.15,false,5
TCK-1201,2025-10-08 13:56:31,EMEA,in_app,urgent,onboarding,a.rossi,24,2.29,false,4
TCK-1202,2025-10-08 15:28:59,EMEA,chat,high,performance,p.nair,44,4.57,false,4
TCK-1203,2025-10-08 19:52:30,EMEA,chat,high,integrations,j.okafor,53,,false,
TCK-1204,2025-10-08 23:36:53,APAC,email,normal,bug,m.tanaka,25,,false,
TCK-1205,2025-10-09 05:58:18,NA,chat,low,billing,p.nair,61,6.96,false,4
TCK-1206,2025-10-09 11:12:01,NA,phone,normal,performance,j.okafor,73,13.37,false,5
TCK-1207,2025-10-09 12:59:02,APAC,email,low,billing,j.okafor,133,3.74,false,3
TCK-1208,2025-10-09 20:01:47,APAC,in_app,low,performance,a.rossi,162,20.11,false,5
TCK-1209,2025-10-10 03:42:44,NA,email,low,onboarding,c.duarte,122,7.80,false,5
TCK-1210,2025-10-10 10:55:53,NA,email,high,performance,l.svensson,28,5.22,false,5
TCK-1211,2025-10-10 18:46:28,NA,phone,low,onboarding,l.svensson,26,,false,
TCK-1212,2025-10-11 00:12:41,EMEA,email,low,billing,l.svensson,109,,false,
TCK-1213,2025-10-11 02:53:07,EMEA,in_app,urgent,performance,p.nair,11,6.67,false,4
TCK-1214,2025-10-11 10:41:37,NA,phone,urgent,bug,p.nair,23,4.16,false,4
TCK-1215,2025-10-11 18:06:17,NA,in_app,high,integrations,m.tanaka,17,22.40,false,5
TCK-1216,2025-10-11 21:24:17,EMEA,in_app,high,integrations,p.nair,29,15.97,false,4
TCK-1217,2025-10-11 23:29:41,APAC,chat,urgent,performance,a.rossi,14,6.80,false,5
TCK-1218,2025-10-12 02:35:18,EMEA,chat,low,bug,a.rossi,153,,false,
TCK-1219,2025-10-12 08:41:34,APAC,in_app,urgent,onboarding,a.rossi,29,,false,
TCK-1220,2025-10-12 14:12:55,APAC,phone,low,performance,a.rossi,151,19.94,false,5
TCK-1221,2025-10-12 21:24:00,APAC,chat,high,integrations,l.svensson,57,22.93,false,5
TCK-1222,2025-10-13 00:40:18,APAC,chat,high,bug,p.nair,16,16.32,false,3
TCK-1223,2025-10-13 07:35:13,APAC,in_app,low,integrations,l.svensson,51,82.80,false,5
TCK-1224,2025-10-13 08:54:00,EMEA,email,low,bug,l.svensson,98,29.84,false,5
TCK-1225,2025-10-13 12:12:00,EMEA,email,normal,onboarding,j.okafor,57,13.35,false,5
TCK-1226,2025-10-13 19:49:13,EMEA,in_app,normal,onboarding,a.rossi,28,8.83,false,5
TCK-1227,2025-10-14 01:42:33,APAC,in_app,low,performance,c.duarte,42,33.08,false,5
TCK-1228,2025-10-14 08:28:34,EMEA,chat,normal,onboarding,j.okafor,30,5.04,false,4
TCK-1229,2025-10-14 13:39:39,EMEA,chat,high,onboarding,m.tanaka,37,5.80,true,5
TCK-1230,2025-10-14 17:16:22,NA,chat,normal,billing,l.svensson,16,4.86,false,4
TCK-1231,2025-10-14 21:46:08,APAC,chat,high,performance,j.okafor,37,10.63,false,3
TCK-1232,2025-10-15 00:44:09,NA,phone,normal,performance,l.svensson,20,14.73,false,4
TCK-1233,2025-10-15 05:58:04,NA,phone,urgent,bug,p.nair,26,9.07,true,4
TCK-1234,2025-10-15 13:29:01,EMEA,phone,high,integrations,p.nair,11,29.24,false,4
TCK-1235,2025-10-15 16:21:55,EMEA,phone,normal,billing,p.nair,58,5.31,false,4
TCK-1236,2025-10-15 18:30:54,NA,email,low,billing,l.svensson,137,4.64,false,4
TCK-1237,2025-10-15 23:57:20,NA,phone,urgent,feature_request,j.okafor,30,23.83,false,4
TCK-1238,2025-10-16 04:41:27,EMEA,chat,urgent,performance,c.duarte,14,6.90,false,4
TCK-1239,2025-10-16 09:29:11,EMEA,in_app,low,performance,l.svensson,149,16.21,false,5
TCK-1240,2025-10-16 15:39:12,APAC,chat,urgent,bug,m.tanaka,11,,false,
TCK-1241,2025-10-16 20:55:38,NA,email,urgent,feature_request,c.duarte,7,14.80,false,4
TCK-1242,2025-10-17 03:29:00,EMEA,phone,high,onboarding,j.okafor,32,3.57,true,4
TCK-1243,2025-10-17 07:43:38,EMEA,email,normal,onboarding,m.tanaka,30,,true,
TCK-1244,2025-10-17 09:11:07,APAC,in_app,low,onboarding,a.rossi,73,19.21,false,4
TCK-1245,2025-10-17 11:12:15,EMEA,chat,urgent,integrations,m.tanaka,23,,false,
TCK-1246,2025-10-17 14:17:50,EMEA,in_app,urgent,integrations,a.rossi,25,12.97,true,4
TCK-1247,2025-10-17 20:02:49,NA,email,urgent,bug,l.svensson,10,7.79,false,5
TCK-1248,2025-10-17 23:43:00,APAC,email,urgent,integrations,m.tanaka,28,10.49,true,3
TCK-1249,2025-10-18 03:45:01,NA,chat,urgent,onboarding,a.rossi,11,2.09,false,4
TCK-1250,2025-10-18 07:44:11,NA,chat,urgent,performance,m.tanaka,22,4.85,false,3
TCK-1251,2025-10-18 09:45:23,EMEA,chat,low,bug,l.svensson,149,39.72,true,5
TCK-1252,2025-10-18 12:01:23,NA,in_app,normal,billing,p.nair,67,5.97,true,3
TCK-1253,2025-10-18 19:11:35,NA,phone,high,integrations,j.okafor,57,,false,
TCK-1254,2025-10-19 02:28:36,EMEA,phone,normal,bug,a.rossi,23,12.90,false,5
TCK-1255,2025-10-19 06:37:17,NA,email,normal,bug,m.tanaka,50,,false,
TCK-1256,2025-10-19 12:30:47,EMEA,phone,urgent,feature_request,c.duarte,6,10.43,false,4
TCK-1257,2025-10-19 20:20:29,APAC,email,normal,integrations,p.nair,99,40.20,false,4
TCK-1258,2025-10-20 00:34:15,APAC,phone,normal,feature_request,a.rossi,23,39.78,false,3
TCK-1259,2025-10-20 08:18:32,EMEA,in_app,urgent,onboarding,c.duarte,30,1.85,false,4
TCK-1260,2025-10-20 13:29:07,EMEA,in_app,urgent,onboarding,p.nair,20,3.70,false,5
TCK-1261,2025-10-20 16:00:38,APAC,in_app,low,performance,a.rossi,32,15.10,false,4
TCK-1262,2025-10-20 21:51:21,APAC,phone,high,onboarding,c.duarte,15,2.77,false,4
TCK-1263,2025-10-21 00:50:48,APAC,phone,high,billing,j.okafor,54,2.54,false,5
TCK-1264,2025-10-21 02:24:59,EMEA,chat,high,billing,p.nair,24,1.97,false,5
TCK-1265,2025-10-21 09:06:51,NA,phone,high,onboarding,l.svensson,40,4.96,false,5
TCK-1266,2025-10-21 15:39:58,EMEA,chat,low,feature_request,p.nair,63,62.86,false,4
TCK-1267,2025-10-21 18:58:22,EMEA,phone,low,onboarding,m.tanaka,95,18.44,false,4
TCK-1268,2025-10-22 00:15:19,APAC,phone,urgent,integrations,j.okafor,27,14.12,false,4
TCK-1269,2025-10-22 08:06:18,NA,in_app,low,bug,l.svensson,105,20.86,false,3
TCK-1270,2025-10-22 11:47:20,EMEA,chat,urgent,integrations,a.rossi,9,15.12,false,4
TCK-1271,2025-10-22 15:25:14,NA,phone,urgent,feature_request,l.svensson,26,,false,
TCK-1272,2025-10-22 22:37:05,APAC,email,high,bug,a.rossi,49,11.69,false,5
TCK-1273,2025-10-23 05:06:14,NA,email,urgent,billing,a.rossi,26,0.71,false,4
TCK-1274,2025-10-23 08:59:01,NA,in_app,low,billing,a.rossi,115,9.52,false,4
TCK-1275,2025-10-23 14:26:50,NA,phone,urgent,bug,j.okafor,22,5.87,false,4
TCK-1276,2025-10-23 15:54:51,EMEA,chat,high,performance,l.svensson,24,6.44,false,4
TCK-1277,2025-10-23 19:40:59,NA,chat,high,onboarding,p.nair,14,5.88,false,3
TCK-1278,2025-10-23 21:08:33,NA,email,urgent,billing,l.svensson,25,1.53,false,4
TCK-1279,2025-10-24 03:30:25,APAC,email,urgent,bug,c.duarte,22,4.64,false,4
TCK-1280,2025-10-24 10:27:17,APAC,email,normal,performance,c.duarte,73,10.57,false,3
TCK-1281,2025-10-24 14:45:29,APAC,in_app,low,bug,l.svensson,79,35.35,false,4
TCK-1282,2025-10-24 22:28:13,NA,email,high,bug,p.nair,34,6.60,false,4
