month,region,plan,contract_type,new_customers,churned_customers,revenue_usd
2025-06,NA,Starter,monthly,193,44,23737.44
2025-06,NA,Pro,monthly,62,8,56059.42
2025-06,NA,Enterprise,monthly,19,5,128752.85
2025-06,EMEA,Starter,monthly,131,26,14488.21
2025-06,EMEA,Pro,monthly,32,4,35903.73
2025-06,EMEA,Enterprise,monthly,10,1,83217.47
2025-06,APAC,Starter,monthly,83,12,9400.70
2025-06,APAC,Pro,monthly,21,4,21094.41
2025-06,APAC,Enterprise,monthly,6,1,43602.40
2025-07,NA,Starter,monthly,185,30,23956.42
2025-07,NA,Pro,monthly,61,13,58960.53
2025-07,NA,Enterprise,monthly,17,4,128804.17
2025-07,EMEA,Starter,monthly,134,25,15463.71
2025-07,EMEA,Pro,monthly,35,8,36239.00
2025-07,EMEA,Enterprise,monthly,10,2,80705.86
2025-07,APAC,Starter,monthly,66,9,9182.93
2025-07,APAC,Pro,monthly,23,5,22113.49
2025-07,APAC,Enterprise,monthly,6,1,47579.08
2025-08,NA,Starter,monthly,201,50,24557.50
2025-08,NA,Pro,monthly,52,7,56892.10
2025-08,NA,Enterprise,monthly,20,5,134401.82
2025-08,EMEA,Starter,monthly,124,24,15198.34
2025-08,EMEA,Pro,monthly,36,8,38380.57
2025-08,EMEA,Enterprise,monthly,11,2,84164.14
2025-08,APAC,Starter,monthly,69,16,9314.56
2025-08,APAC,Pro,monthly,19,4,21246.88
2025-08,APAC,Enterprise,monthly,6,1,45277.74
2025-09,NA,Starter,monthly,203,44,25337.98
2025-09,NA,Pro,monthly,58,8,59596.46
2025-09,NA,Enterprise,monthly,19,3,138493.26
2025-09,EMEA,Starter,monthly,135,31,15551.17
2025-09,EMEA,Pro,monthly,44,11,38880.95
2025-09,EMEA,Enterprise,monthly,12,2,87980.46
2025-09,APAC,Starter,monthly,83,18,9515.87
2025-09,APAC,Pro,monthly,24,5,21897.11
2025-09,APAC,Pro,annual_prepay,1,0,26400.00
2025-09,APAC,Enterprise,monthly,8,2,49485.11
2025-10,NA,Starter,monthly,221,52,26320.19
2025-10,NA,Pro,monthly,58,15,61854.51
2025-10,NA,Enterprise,monthly,21,4,134465.89
2025-10,EMEA,Starter,monthly,150,20,15988.22
2025-10,EMEA,Pro,monthly,41,9,39203.65
2025-10,EMEA,Enterprise,monthly,13,3,88250.32
2025-10,APAC,Starter,monthly,90,16,10309.20
2025-10,APAC,Pro,monthly,24,4,23372.92
2025-10,APAC,Enterprise,monthly,6,1,49181.01
2025-11,NA,Starter,monthly,232,49,25605.47
2025-11,NA,Pro,monthly,62,12,63059.90
2025-11,NA,Enterprise,monthly,18,3,136791.97
2025-11,EMEA,Starter,monthly,137,24,16449.44
2025-11,EMEA,Pro,monthly,35,5,39866.94
2025-11,EMEA,Enterprise,monthly,13,3,88502.83
2025-11,APAC,Starter,monthly,83,21,10388.73
2025-11,APAC,Pro,monthly,26,4,24098.43
2025-11,APAC,Enterprise,monthly,8,2,49493.89
2025-12,NA,Starter,monthly,193,26,24083.80
2025-12,NA,Pro,monthly,57,11,55018.83
2025-12,NA,Enterprise,monthly,17,4,125427.38
2025-12,EMEA,Starter,monthly,134,18,14911.45
2025-12,EMEA,Pro,monthly,40,8,36572.33
2025-12,EMEA,Enterprise,monthly,13,3,82654.01
2025-12,APAC,Starter,monthly,81,11,9738.09
2025-12,APAC,Pro,monthly,23,5,21959.20
2025-12,APAC,Enterprise,monthly,7,2,46311.83
